@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
B,21,0.1,3.67,0.1,0.1,1.22,0,0,0.97,0.02,0,0,0.37,3.3,1,0.18,0,0,1,?,1,1,5,2,5,0,30/05@34/11/03/07
A,20,0.1,0.51,0.1,0.1,0.67,0,0,0.19,0.09,0,0,0.25,2.7,1,0.02,0,0,1,?,1,1,5,2,5,0,11/02/03/01@11/02/03/04@18/02/09@34/11/03/07@41/01/01
A,20,0.1,0.37,0.1,0.1,0.63,0,0,0.16,0.09,0,0,0.25,2.5,1,0.02,0,0,1,?,1,1,5,2,5,0,11/02/03/01@11/02/03/04@18/02/09@34/11/03/07@41/01/01
C,21,0.4,1.74,0.3,0.2,0.48,0,0,0.65,0.13,0,0,0.41,1.2,1,0.17,0,0,1,?,1,1,5,?,5,0,16/01@34/11/03/07@41/01/01
B,21,0.44,1.09,0.48,0.69,0.38,0.14,0.15,0.68,0.16,0.9,0,0.23,1.7,1,0.17,0.88,0,?,?,?,?,?,?,?,0,01/03/04/03@16/19
B,20,1.03,1.98,2.78,1.45,0.35,0.33,0.04,1.81,0.19,1.7,1,0.22,1.6,1,0.3,0.13,0,?,?,?,?,?,?,?,0,12/01/01
B,21,4.86,9.72,0.89,5.39,0.32,-0.73,0.03,5.22,0.14,5.2,1,0.29,1.1,1,0.16,0.19,0,?,?,?,?,?,?,?,0,11/04/01@11/04/03/01/10@12/01/01@12/07
C,21,0.97,2.84,0.88,1.24,0.32,-0.14,-0.1,1.48,0.28,0.5,0,0.26,1.2,1,0.25,0.4,0,?,?,?,?,?,?,?,0,12/01/01@16/03/03
B,20,0.21,0.48,0.3,0.44,0.31,0,0.25,0.36,0.17,0,0,0.17,1.8,1,0.08,3.13,1,?,?,?,?,5,2,2,0,11/04/01@12/01/01@16/03/01@16/03/03@32/01
B,20,2.34,4.11,5.06,1.76,0.28,0.24,-0.25,3.32,0.18,1.3,1,0.22,1.3,1,0.28,0.89,0,?,?,?,?,?,?,?,0,12/01/01
C,20,0.65,1.53,0.63,1.57,0.28,0,0.23,1.1,0.15,0,0,0.2,1.4,1,0.2,1.15,1,?,?,?,?,5,?,?,0,01/06/06/11
B,20,0.19,0.54,0.56,0.6,0.26,0.42,0.39,0.47,0.3,1.4,1,0.3,0.9,0,0.33,1.18,1,?,?,?,?,?,?,?,0,14/13/01
B,20,4.77,8.84,5.2,3.77,0.26,0.11,-0.09,5.65,0.13,0.8,0,0.13,2,1,0.23,0.39,0,?,?,?,?,?,?,?,0,12/01/01@16/03/03
C,21,0.77,1.74,1.09,1.29,0.25,0.14,0.06,1.22,0.21,0.7,0,0.29,0.9,0,0.22,0.27,0,?,?,?,?,?,?,?,0,01/05/25@16/03/01@30/01@32/01/09@40/10/02/01@42/10/03
C,20,1.16,2.37,0.72,2.02,0.24,-0.23,0.17,1.57,0.16,1.4,1,0.24,1,1,0.17,1,0,?,?,?,?,?,2,?,0,11/04/01@20/01/21@20/09/01@42/10
D,20,0.48,0.86,0.68,0.6,0.23,0.14,-0.04,0.66,0.17,0.8,0,0.14,1.6,1,0.17,0.24,0,?,?,?,?,?,?,?,0,14/04@20/09/07/03
B,52,2.22,5.11,5.37,2.57,0.22,0.14,0.01,3.82,0.25,0.6,0,0.18,1.2,1,0.15,0.07,0,?,?,?,?,?,?,?,0,12/01/01
C,20,0.4,1.25,1.27,0.4,0.22,0.24,0,0.82,0.32,0.8,0,0.24,0.9,0,0.17,0,0,1,?,?,?,2,2,5,0,01/05/02/04@01/20/01/01@16/21/07
B,50,1.82,3.53,1.68,1.83,0.21,0.03,0.07,2.22,0.22,0.1,0,0.18,1.2,1,0.15,0.47,0,?,?,?,?,?,?,?,0,12/01/01
D,21,0.54,0.64,0.51,1.2,0.21,0.01,0.43,0.72,0.09,0.1,0,0.23,0.9,0,0.11,3.91,1,?,?,?,?,?,?,?,0,10/03/01@10/03/05/01@16/01@42/04/05
D,20,0.1,0.21,0.16,0.11,0.21,0.1,-0.02,0.15,0.23,0.4,0,0.21,1,1,0.33,0.06,0,1,?,?,?,2,2,?,0,01/03/16/01@10/03/01@11/04/01
D,20,0.42,0.76,0.87,0.66,0.21,0.22,0.11,0.68,0.19,1.2,1,0.2,1.1,1,0.11,1,0,?,?,?,?,?,?,2,0,11/04/01@11/06/01
A,26,1.45,3.12,2.91,2.15,0.2,0.23,0.01,2.41,0.08,2.9,1,0.07,2.9,1,0.11,0.09,0,?,?,?,?,?,?,?,0,12/01/01
B,26,8.69,15.9,13.1,7.97,0.2,0.05,-0.14,11.42,0.12,0.4,0,0.15,1.3,1,0.2,0.7,0,?,?,?,?,?,?,?,0,12/01/01
C,20,1.04,1.8,0.83,1.68,0.19,-0.18,0.14,1.34,0.11,1.6,0,0.11,1.7,0,0.1,1.4,0,?,?,?,?,?,?,?,0,12/04/02@42/01
B,21,1.89,1.66,1.81,2.69,0.18,0.14,0.29,2.01,0.18,0.8,0,0.16,1.1,0,0.24,1.21,1,?,?,?,?,?,?,?,0,01/05@42/01
C,21,1.14,2.89,1.57,3.83,0.18,-0.03,0.3,2.36,0.2,0.2,0,0.15,1.2,0,0.22,1.36,1,?,?,?,?,?,?,?,0,14/10@16/01@20/09/18@40/01@42/04/03@43/01/03/05
C,20,4.08,7.94,3.51,3.94,0.18,-0.24,-0.1,4.87,0.1,2.4,1,0.13,1.4,0,0.13,0.77,0,?,?,?,?,?,?,?,0,12/01/01@14/13/01
D,20,7,11.3,9.27,5.75,0.18,0.15,-0.08,8.32,0.15,1,0,0.06,3,0,0.09,0.89,0,?,?,?,?,?,?,?,0,12/01/01
B,20,6.83,6.49,7.25,4.63,0.17,0.05,-0.09,6.3,0.14,0.4,0,0.16,1.1,0,0.18,0.5,0,?,?,?,?,?,?,?,0,20/01/01/01@20/01/15@20/03/22@34/01/01/03
B,21,2.45,3.98,4.11,3.06,0.17,0.12,0.02,3.4,0.19,0.6,0,0.2,0.9,0,0.28,0.07,0,?,?,?,?,?,?,?,0,01/01/11/02/01@42/16
C,29,2.86,8.27,4.07,5.08,0.17,-0.12,-0.09,5.07,0.21,0.6,0,0.16,1.1,0,0.15,0.6,0,?,?,?,?,?,?,?,0,12/01/01
D,21,1.57,2.13,2.34,2.31,0.17,0.15,0.19,2.09,0.09,1.7,0,0.09,1.9,0,0.1,1.9,0,?,?,?,?,?,?,?,0,01/05/03@10/03/01@10/03/03@40/01
D,20,0.32,0.48,0.66,0.47,0.17,0.34,0.23,0.48,0.11,3.1,1,0.11,1.5,0,0.12,1.92,1,?,?,?,?,?,?,?,0,01/07/01
B,21,0.41,1.08,0.46,0.64,0.16,0,-0.09,0.65,0.05,0,0,0.14,1.1,0,0.09,1,0,?,?,?,?,5,?,?,0,11/02/03/01@11/02/03/04
D,34,1.48,1.54,2.52,1.93,0.16,0.27,0.22,1.87,0.1,2.7,1,0.14,1.1,0,0.15,1.47,1,?,?,?,?,?,?,?,0,12/01/01
D,20,0.18,0.28,0.12,0.44,0.16,-0.22,0.2,0.26,0.14,1.6,1,0.21,0.8,0,0.14,1.43,1,?,?,?,?,?,2,?,0,16/01@34/11/03/07@41/01/01
D,20,0.47,0.68,0.7,0.86,0.16,0.13,0.21,0.68,0.11,1.2,0,0.12,1.3,0,0.1,2.1,1,?,?,?,?,?,?,?,0,14/07/11@14/13/01/01
A,21,5.12,7.72,8.36,5.04,0.15,0.21,-0.01,6.56,0.08,2.6,1,0.07,2.1,0,0.11,0.09,0,?,?,?,?,?,?,?,0,12/01/01
C,41,2.25,3.36,1.27,2.04,0.15,-0.19,-0.05,2.23,0.13,1.5,0,0.11,1.4,0,0.17,0.29,0,?,?,?,?,?,?,?,0,12/01/01@14/10
C,20,4.37,6.39,3.19,3.25,0.15,-0.26,-0.1,4.3,0.14,1.9,1,0.12,1.3,0,0.14,0.71,0,?,?,?,?,?,?,?,0,12/01/01@16/03/03
D,21,0.42,0.43,0.49,0.7,0.15,0.17,0.37,0.51,0.16,1.1,0,0.12,1.3,0,0.13,2.85,1,?,?,?,?,2,?,?,0,14/04@14/13/01/01@16/01
D,20,0.29,0.4,0.33,0.49,0.15,0.1,0.22,0.38,0.23,0.4,0,0.11,1.4,0,0.15,1.47,1,?,?,?,?,?,?,?,0,12/04/01
